example_id,repo_id,base_sha,issue_text,relevant_paths,top10_pred,first_relevant_rank,category,notes,proposed_fix

timbrel/gitsavvy/513/510,timbrel/gitsavvy,507c8ca7f8734ff5b3fbe1f676d296050c0b3eb8,"Not picking up `typechange`  Gitsavvy isn't picking up the type changes in the status dashboard.  Steps to reproduce: - create a symlink for a file - commit the file - delete the symlink and add a file (not a symlink) with the same name back in  After these steps, Gitsavvy reports that the directory is clean, whereas running `git status` reports that there is a `typechange` (as opposed to `modified` and others).",core/git_mixins/status.py,docs/misc.md;docs/remotes.md;docs/ignoring.md;docs/commit.md;docs/history.md;core/git_mixins/rewrite.py;core/commands/quick_stage.py;core/git_mixins/stash.py;core/git_mixins/remotes.py;docs/branch_mgmt.md,56,,,

timbrel/gitsavvy/943/941,timbrel/gitsavvy,965c16964e47ae39ba68f9ff73a76b023c2892f6,"cherry-pick: 'GsCherryPickCommand' object has no attribute 'view'  - Sublime Text version number 3176
 - Git version number 2.15.1 (Apple Git-101)
 - OS type and version macOS 10.13.4
 - Console error output 
 
 ```
 Traceback (most recent call last):
   File ""/Users/koenlageveen/Library/Application Support/Sublime Text 3/Installed Packages/GitSavvy.sublime-package/core/ui_mixins/quick_panel.py"", line 526, in <lambda>
   File ""/Users/koenlageveen/Library/Application Support/Sublime Text 3/Installed Packages/GitSavvy.sublime-package/core/ui_mixins/quick_panel.py"", line 530, in on_selection_async
   File ""/Users/koenlageveen/Library/Application Support/Sublime Text 3/Installed Packages/GitSavvy.sublime-package/core/commands/log.py"", line 32, in <lambda>
   File ""/Users/koenlageveen/Library/Application Support/Sublime Text 3/Installed Packages/GitSavvy.sublime-package/core/commands/log.py"", line 37, in on_done
   File ""/Users/koenlageveen/Library/Application Support/Sublime Text 3/Install",core/commands/cherry_pick.py,core/commands/tag.py;common/commands/help.py;docs/README.md;core/interfaces/rebase.py;common/ui.py;common/global_events.py;core/interfaces/__init__.py;core/ui_mixins/quick_panel.py;core/commands/blame.py;docs/github.md,19,,,

